ms_record_file_location,ms_level_uri,unique_xpath,author_position_in_sequence,author_text_node,author-element-text-node,syriaca_headword_possibility1,syriaca_headword_current,author_uri_current,title_text_node,parent_item,author_uri_possibility1,author_uri_possibility2,author_uri_corrected,author_uri_consolidated,author_uri_corrected,author_role_current,author_role_corrected,msItem_xml-id,rubric,incipit,explicit,finalRubric,status,asignee,syriaca_notes,wright_catalogue_location,wright_entry_roman_numeral,shelf_mark,locus_start
/data/tei/841.xml,http://syriaca.org/manuscript/841,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem/author,1,Abbat John,Abbat John,John the Solitary,#N/A,,"The letter of the abbat John , to which no. 1 is the reply, requesting Daniel of Salach to compose his commentary on the Psalms.","Daniel of Salach. ""A letter of Daniel of Salach to John , abbat of the convent of Eusebius at ܟܦܪܐ ܕܒܪܬܐ , in the district of Apamea , stating his reasons for writing this commentary, and making it as concise as possible."". Foll. 120a-120a",http://syriaca.org/person/827,http://syriaca.org/person/999,,http://syriaca.org/person/827,,,,a3,ܬܘܒ ܐܝܓܪܬܐ ܕܟܬܒ ܪܚ̇ܡ ܐܠܗܐ ܡܪܝ ܝܘܚܢܢ ܪܝܫܕܝܪܐ ܕܡܪܝ ܐܘܣܒ ܟܦܪܐ ܕܒܪܬܐ ܠܡܪܝ ܕܢܝܐܝܠ. ܕܢܟܬܘܒ ܠܗ ܦܘܫܩܐ ܕܡܙܡܘܪ̈ܐ ܕܕܘܝܕ ܢܒܝܐ,ܠܡܠܦܢܐ ܚܟܝܡܐ ܘܪܚܡ̣ܬ ܐܠܗܐ: ܝܕܥܬܐ ܡܫܡܠܝܬܐ. ܡܠ̣ܐ ܚܘܒܐ ܡܫܝܚܝܐ. ܚܟܝܡ ܒܕܚܠܬ ܡܪܗ. ܘܡܫܪܪ ܥܠ ܝܒܠܗ̇ ܕܗܝ̇ܡܢܘܬܐ. ܚܘܬܪܗ̇ ܘܫܘܒܗܪܗ̇ ܕܒܨܝܪܘܬܝ. ܛܥ̣ܝܢ ܚܫܗ ܕܡܪܗ ܒܩܢܘܡܗ. ܡܪܝ ܕܢܝܐܝܠ ܩܫܝܫܐ ܘܪܝܫܕܝܪܐ. ܡܢ ܒܨܝܪܐ ܩܫܝܫܐ ܘܪܝܫܕܝܪܐ ܝܘܚܢܢ ܕܥܘܡܪܐ ܩܕܝܫܐ ܕܒܝܬ ܡܪܝ ܐܘܣܒ. ܕܟܦܪܐ ܪܒܪܬܐ ܟܘܪܐ ܕܐܦܡܝܐ. ܒܝܫܘܥ ܐܠܗܐ ܡܠܬܐ ܓ̇ܡܪ ܟܠ ܒܚܫܐ ܕܙܩܝܦܗ ܣ̇ܓܝ ܫܠ̣ܡ܀ ܥܢܝܢܐ ܡܪܝ ܫܦܝܪܐ ܕܡܫܬܡܪ ܒܬܦ̈ܐ ܕܚ[ـܘ]ܒܐ ܠܝܕܥܬܐ. ܡܥܕ ܒܟܠ ܠܗ ܠܡܡܚܛܦ (sic) $ܘܠܡܬܠ ܦܐܪ̈ܐ ܐܝܠܝܢ ܕܥܠ ܕܪܦܘ (sic) $ܟܬܝ̈ܒܬܐ ܐܬܝ̈ܢ܇ ܐܝܟ ܕ̈ܫܢܐ ܕܒܘܣܡܐ ܠܟܦܢܘܬܗ̇ ܕܢܦܫܐ܇ ܏ܘܫ.,,,ready to ingest,Alexys Ahn,,12:05,DCCVIII,Add MS 17187,120a
/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/author,1,Abbat John bar Aphtunaya,Abbat John bar Aphtunaya,#N/A,John bar Aphtonia,http://syriaca.org/person/52,Morning hymns,"Severus, patriarch of Antioch, John bar Aphtūnāyā ('Αφθόνιος), abbat of Kinnesrīn, John (Psaltes or Calligraphus), abbat of Kinnesrīn. ""The Hymns ܡ̈ܥܢܝܬܐ of Severus, patriarch of Antioch , John bar Aphtūnāyā ('Αφθόνιος), abbat of Kinnesrīn, John (Psaltes or Calligraphus), abbat of Kinnesrīn, and other writers; translated from the Greek into Syriac by Paul, bishop of Edessa, when he was residing in the island of Cyprus (see below); and revised and corrected by Jacob, in the year above mentioned"". Foll. 1a-85b",,,,http://syriaca.org/person/52,,,,b36,ܡܥ̈ܢܝܬܐ ܕܨ̇ܦܪܐ,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,65b
/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[9]/author,1,Abbat John bar Aphtunaya,Abbat John bar Aphtunaya,#N/A,John bar Aphtonia,http://syriaca.org/person/52,Ninth hymn,"Abbat John bar Aphtunaya. ""Morning hymns"". Foll. 65b-67",,,,http://syriaca.org/person/52,,,,cc9,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,
/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[14]/author,1,Abbat John bar Aphtunaya,Abbat John bar Aphtunaya,#N/A,John bar Aphtonia,http://syriaca.org/person/52,Fourteenth hymn,"Abbat John bar Aphtunaya. ""Morning hymns"". Foll. 65b-67",,,,http://syriaca.org/person/52,,,,cc14,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,
/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[15]/author,1,Abbat John bar Aphtunaya,Abbat John bar Aphtunaya,#N/A,John bar Aphtonia,http://syriaca.org/person/52,Fifteenth hymn,"Abbat John bar Aphtunaya. ""Morning hymns"". Foll. 65b-67",,,,http://syriaca.org/person/52,,,,cc15,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,
/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[16]/author,1,Abbat John bar Aphtunaya,Abbat John bar Aphtunaya,#N/A,John bar Aphtonia,http://syriaca.org/person/52,Sixteenth hymn,"Abbat John bar Aphtunaya. ""Morning hymns"". Foll. 65b-67",,,,http://syriaca.org/person/52,,,,cc16,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,
/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[17]/author,1,Abbat John bar Aphtunaya,Abbat John bar Aphtunaya,#N/A,John bar Aphtonia,http://syriaca.org/person/52,Seventeenth hymn,"Abbat John bar Aphtunaya. ""Morning hymns"". Foll. 65b-67",,,,http://syriaca.org/person/52,,,,cc17,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,
/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[18]/author,1,Abbat John bar Aphtunaya,Abbat John bar Aphtunaya,#N/A,John bar Aphtonia,http://syriaca.org/person/52,Eighteenth hymn,"Abbat John bar Aphtunaya. ""Morning hymns"". Foll. 65b-67",,,,http://syriaca.org/person/52,,,,cc18,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,
/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[1]/author,1,Abbat John bar Aphtunaya,Abbat John bar Aphtunaya,#N/A,John bar Aphtonia,http://syriaca.org/person/52,First hymn,"""Evening hymns"". Foll. 67b-68",,,,http://syriaca.org/person/52,,,,dd1,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,
/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[6]/author,1,Abbat John bar Aphtunaya,Abbat John bar Aphtunaya,#N/A,John bar Aphtonia,http://syriaca.org/person/52,Sixth hymn,"""Evening hymns"". Foll. 67b-68",,,,http://syriaca.org/person/52,,,,dd6,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,
/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[8]/author,1,Abbat John bar Aphtunaya,Abbat John bar Aphtunaya,#N/A,John bar Aphtonia,http://syriaca.org/person/52,Eighth hymn,"""Evening hymns"". Foll. 67b-68",,,,http://syriaca.org/person/52,,,,dd8,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,
/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[11]/author,1,Abbat John bar Aphtunaya,Abbat John bar Aphtunaya,#N/A,John bar Aphtonia,http://syriaca.org/person/52,Eleventh hymn,"""Evening hymns"". Foll. 67b-68",,,,http://syriaca.org/person/52,,,,dd11,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,
/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[12]/author,1,Abbat John bar Aphtunaya,Abbat John bar Aphtunaya,#N/A,John bar Aphtonia,http://syriaca.org/person/52,Twelfth hymn,"""Evening hymns"". Foll. 67b-68",,,,http://syriaca.org/person/52,,,,dd12,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,
/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[13]/author,1,Abbat John bar Aphtunaya,Abbat John bar Aphtunaya,#N/A,John bar Aphtonia,http://syriaca.org/person/52,Thirteenth hymn,"""Evening hymns"". Foll. 67b-68",,,,http://syriaca.org/person/52,,,,dd13,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,
/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[14]/author,1,Abbat John bar Aphtunaya,Abbat John bar Aphtunaya,#N/A,John bar Aphtonia,http://syriaca.org/person/52,Fourteenth hymn,"""Evening hymns"". Foll. 67b-68",,,,http://syriaca.org/person/52,,,,dd14,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,
/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[39]/author,1,Abbat John bar Aphtūnāyā,Abbat John bar Aphtūnāyā,#N/A,John bar Aphtonia,http://syriaca.org/person/52,On the tonsure,"Severus, patriarch of Antioch, John bar Aphtūnāyā ('Αφθόνιος), abbat of Kinnesrīn, John (Psaltes or Calligraphus), abbat of Kinnesrīn. ""The Hymns ܡ̈ܥܢܝܬܐ of Severus, patriarch of Antioch , John bar Aphtūnāyā ('Αφθόνιος), abbat of Kinnesrīn, John (Psaltes or Calligraphus), abbat of Kinnesrīn, and other writers; translated from the Greek into Syriac by Paul, bishop of Edessa, when he was residing in the island of Cyprus (see below); and revised and corrected by Jacob, in the year above mentioned"". Foll. 1a-85b",,,,http://syriaca.org/person/52,,,,b39,ܕܥܠ ܣܘ̇ܦܪܐ ܕܗ̇ܢܘܢ ܕܐܬ݁ܝܢ ܠܘܬ ܬܘܠܡܕܐ ܘܫ̇ܩܠܝܢ ܐܣܟܝܡܐ ܕܕܝܪܝܘܬܐ,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,73b
/data/tei/776.xml,http://syriaca.org/manuscript/776,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/author[2],2,abbat Paul,abbat Paul,"Paul , metropolitan of Edessa",#N/A,,"A Commentary on the works of Gregory Nazianzen , as translated into Syriac by the abbat Paul , consisting chiefly of short notes upon difficult words and passages.",,http://syriaca.org/person/84,,,http://syriaca.org/person/84,,,,a1,ܬܚܘܝ̈ܬܐ ܕܡܐܡܪܐ,,,ܫܠܸܡ ܠܡܟܬܒ ܡ̈ܠܐ ܥܣܩ̈ܬܐ ܕܐܝܬ ܒܟܬܒܐ ܕܩܕܝܫܐ ܓܪܝܓܪܝܘܣ ܬܐܘܠܘܓܘܣ ܥܡ ܦܘܫܩ̈ܝܗܝܢ. ܘܬܚ̈ܘܝܬܐ ܕܡܢ ܟܬܒ̈ܐ ܕܥܬܝܩܬܐ ܘܕܚܕܬܐ. ܘܕܡ̈ܠܦܢܐ ܫܪܝܪ̈ܐ ܘܕܗܪ̈ܣܝܘܛܐ ܘܕܦܝܠܣܘ̈ܦܐ. ܫܘܒܚܐ ܠܚܕ ܟܝܢܐ ܣܓܝܕܐ ܕܡܬܬܘܕܐ ܒܬܠܬܐ ܩܢܘ̈ܡܐ ܫܘ̈ܝܐ ܕܐܒܐ ܘܕܒܪܐ ܘܕܪܘܚܐ ܕܩܘܕܫܐ. ܗܫܐ ܘܒܟܠܙܒܢ̇ ܘܠܥܠܡ ܥܠܡܝܢ ܐܡܝܢ ܘܐܡܝܢ..,ready to ingest,Justin Arnwine,,2:438-440,DLXI,Add MS 17147,
/data/tei/338.xml,http://syriaca.org/manuscript/338,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[16]/author,1,abbats of the East,abbats of the East,#N/A,#N/A,,Letter of the abbats of the East to Paul of Antioch,"""A large collection of letters"". Foll. -",,,,,,,,b16,ܐܓܪܬܐ ܕܐܬܟ̣ܬܒܬ ܠܘܬ ܦܛܪܝܪܟܐ ܡܪܝ ܦܘܠܐ̣. ܡܢ ܪ̈ܝܫܝ ܥܘܡܪ̈ܐ ܕܡܕܢܚܐ,,,,multiple authors,Alexys Ahn,multiple authors,2:701-715,DCCLIV,Add MS 14602,53a
/data/tei/1114.xml,http://syriaca.org/manuscript/1114,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[1]/author[1],1,Abd al-'Azīz ibn 'Azār of Aleppo,Abd al-'Azīz ibn 'Azār of Aleppo,#N/A,#N/A,,"a note, dated A. Gr. 2066, A. D. 1755, which states that the book was purchased by the deacon 'Abd al-'Azīz ibn 'Azār of Aleppo from the priest Ni'matu 'Ilāh ibn al-Tamburjī","Yuhannā ibn Mansūr al-Himsī. ""Tables for the calculation of the principal festivals of the year, drawn up by Yuhannā ibn Mansūr al-Himsī, and preceded by an explanatory preface in rhymed prose"". Foll. 272b-",,,,,,,,b16,ܐܠܡܠܟ ܠܠܗ ܐܠܘܐܚܕ ܐܠܩܗܐܪ ܠܡܐ ܟܐܢ ܒܬܐܪܝܟ݂ ܐܠܦܝܢ ܘܣܬܗ ܘܣܬܝܢ ܝܘܢܐܢܝܗ ܦܝ ܫܗܪ ܟܐܢܘܢ ܐܠܬܐܢܝ ܩܕ ܐܫܬܪܝܬ ܗܕܐ ܐܠܟܬܐܒ ܐܠܡܒܐܪܟ ܐܠܕܝ ܗܘ ܡܢ ܒܥܨ̇ ܡܘܠܦܐܬ ܢܘܪ ܐܠܡܫܪܩ ܘܐܠܡܓ݂ܪܒ ܣܝܕܢܐ ܐܠܩܕܝܣ ܐܒܝ ܐܠܦܪܔ ܡܪܝ ܓ݂ܪܝܓ݂ܘܪܝܘܣ ܐܒܢ ܐܠܥܒܪܝ ܨܠܘܐܬܗ ܬܠܐܚܜܢܐ ܡܢ ܐܠܫܪܝܪ ܘܬܩܕܪܢܐ ܥܠܝ ܚܦܛ ܡܐ ܦܝܗ ܐܠܡܕܥܘ ܡܢܐܪܗ̈ ܐܠܐܩܕܐܣ ܐܢܐ ܐܠܚܩܝܪ ܦܝ ܐܠܫܡܐܡܣܗ ܒܐܠܐܣܡ ܫܡܐܣ ܏ܥ ܐܠܥܙܝܙ ܘܠܕ ܥܐܙܐܪ ܐܠܡܪܚܘܡ ܫܐܡܝܗ ܐܠܚܠܒܝ ܘܩܕ ܐܫܬܪܝܬܗ ܡܢ ܐܒܘܢܐ ܐܠܫܝܟ݂ ܐܠܟܐܗܢ ܐܠܗܐܪܘܢܝ ܟܒܝܪ ܐܠܣܢ ܘܐܟ݁ܒܪ ܐܠܟܗܢܗ ܐܠܟ݂ܘܪܝ ܢܥܡܗ̈ ܏ܝܗ ܐܠܡܠܩܒ ܐܒܢ ܐܠܛܢܒܪܔܝ ܘܐܥܛܝܬܗ ܬܡܢܗ ܒܐܠܬܡܐܡ ܘܐܠܟܡܐܠ ܘܕܥܐ ܠܝ ܒܐܠܒܪܟܗ ܘܐܠܓ݂ܦܪܐܢ ܝܬܩܒܠ ܐܠܠܗ ܡܢܗ ܕܠܟ ܘܕܠܟ ܣܢܗ̈ ܐܠܦ ܘܣܒܥܡܐܝܗ ܘܟ݂ܡܣܗ ܘܟ݂ܡܣܝܢ ܡܣܝܚܝܗ ܘܠܠܗ ܐܠܡܓܕ ܕܐܝܡܐ ܣܪܡܕܐ ܐܡܝܢ ܐܡܝܢ.,,,,no Syriaca entry,Justin Arnwine,No Syriaca entry for Abd al-Aziz of Aleppo,2:628-630,DCCXXV,Add MS 18296,1a
/data/tei/358.xml,http://syriaca.org/manuscript/358,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem/author,1,Abgar,Abgar,Abgar V Ukkama the Black Abgar V Ukkama (' the Black '),#N/A,,The letter of Abgar,"Eusebius. ""The letters of Abgar and our Lord , with an account of the mission of Addai or Thaddaeus to Edessa , rranslated from The Ecclesiastical History of Eusebius , lib. i., cap. 13"". Foll. 1a-",http://syriaca.org/person/2823,,,http://syriaca.org/person/2823,,,,,ܦܚܡܐ ܕܐܓܪܬܐ ܕܟܬܝܒܐ ܡܢ ܐܒܓܪ ܡܠܟܐ ܠܝܫܘܥ ܕܐܫܬܕܪܬ ܠܗ ܒܝܕ ܚܢܢܝܐ ܛܒܠܪܐ ܠܐܘܪܫܠܡ,,,,ready to ingest,Justin Arnwine,,2:736-738,DCCLXVIII,Add MS 14618,1a
