localKey,ms_record_file_location,ms_level_uri,unique_xpath,author_position_in_sequence,author_text_node,author_uri_current,author_uri_consolidated,msItem_xml-id,locus_start,title_text_node,rubric,incipit,explicit,finalRubric,status,asignee,syriaca_notes,wright_catalogue_location,wright_entry_roman_numeral,shelf_mark,parent_item,,,,,,,,,,,,,false positive
http://syriaca.org/manuscript/763|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[9]/author,/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[9]/author,1,Abbat John bar Aphtunaya,http://syriaca.org/person/52,http://syriaca.org/person/52,cc9,,Ninth hymn,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,"Abbat John bar Aphtunaya. ""Morning hymns"". Foll. 65b-67",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/763|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[14]/author,/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[14]/author,1,Abbat John bar Aphtunaya,http://syriaca.org/person/52,http://syriaca.org/person/52,cc14,,Fourteenth hymn,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,"Abbat John bar Aphtunaya. ""Morning hymns"". Foll. 65b-67",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/763|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[15]/author,/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[15]/author,1,Abbat John bar Aphtunaya,http://syriaca.org/person/52,http://syriaca.org/person/52,cc15,,Fifteenth hymn,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,"Abbat John bar Aphtunaya. ""Morning hymns"". Foll. 65b-67",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/763|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[16]/author,/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[16]/author,1,Abbat John bar Aphtunaya,http://syriaca.org/person/52,http://syriaca.org/person/52,cc16,,Sixteenth hymn,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,"Abbat John bar Aphtunaya. ""Morning hymns"". Foll. 65b-67",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/763|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[17]/author,/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[17]/author,1,Abbat John bar Aphtunaya,http://syriaca.org/person/52,http://syriaca.org/person/52,cc17,,Seventeenth hymn,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,"Abbat John bar Aphtunaya. ""Morning hymns"". Foll. 65b-67",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/763|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[18]/author,/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[36]/msItem[18]/author,1,Abbat John bar Aphtunaya,http://syriaca.org/person/52,http://syriaca.org/person/52,cc18,,Eighteenth hymn,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,"Abbat John bar Aphtunaya. ""Morning hymns"". Foll. 65b-67",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/763|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[1]/author,/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[1]/author,1,Abbat John bar Aphtunaya,http://syriaca.org/person/52,http://syriaca.org/person/52,dd1,,First hymn,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,"""Evening hymns"". Foll. 67b-68",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/763|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[6]/author,/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[6]/author,1,Abbat John bar Aphtunaya,http://syriaca.org/person/52,http://syriaca.org/person/52,dd6,,Sixth hymn,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,"""Evening hymns"". Foll. 67b-68",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/763|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[8]/author,/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[8]/author,1,Abbat John bar Aphtunaya,http://syriaca.org/person/52,http://syriaca.org/person/52,dd8,,Eighth hymn,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,"""Evening hymns"". Foll. 67b-68",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/763|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[11]/author,/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[11]/author,1,Abbat John bar Aphtunaya,http://syriaca.org/person/52,http://syriaca.org/person/52,dd11,,Eleventh hymn,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,"""Evening hymns"". Foll. 67b-68",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/763|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[12]/author,/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[12]/author,1,Abbat John bar Aphtunaya,http://syriaca.org/person/52,http://syriaca.org/person/52,dd12,,Twelfth hymn,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,"""Evening hymns"". Foll. 67b-68",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/763|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[13]/author,/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[13]/author,1,Abbat John bar Aphtunaya,http://syriaca.org/person/52,http://syriaca.org/person/52,dd13,,Thirteenth hymn,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,"""Evening hymns"". Foll. 67b-68",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/763|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[14]/author,/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[37]/msItem[14]/author,1,Abbat John bar Aphtunaya,http://syriaca.org/person/52,http://syriaca.org/person/52,dd14,,Fourteenth hymn,,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,"""Evening hymns"". Foll. 67b-68",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/763|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[39]/author,/data/tei/763.xml,http://syriaca.org/manuscript/763,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/msItem[39]/author,1,Abbat John bar Aphtūnāyā,http://syriaca.org/person/52,http://syriaca.org/person/52,b39,73b,On the tonsure,ܕܥܠ ܣܘ̇ܦܪܐ ܕܗ̇ܢܘܢ ܕܐܬ݁ܝܢ ܠܘܬ ܬܘܠܡܕܐ ܘܫ̇ܩܠܝܢ ܐܣܟܝܡܐ ܕܕܝܪܝܘܬܐ,,,,ready to ingest,Alexys Ahn,,I:330-339,CCCCXXI,Add MS 17134,"Severus, patriarch of Antioch, John bar Aphtūnāyā ('Αφθόνιος), abbat of Kinnesrīn, John (Psaltes or Calligraphus), abbat of Kinnesrīn. ""The Hymns ܡ̈ܥܢܝܬܐ of Severus, patriarch of Antioch , John bar Aphtūnāyā ('Αφθόνιος), abbat of Kinnesrīn, John (Psaltes or Calligraphus), abbat of Kinnesrīn, and other writers; translated from the Greek into Syriac by Paul, bishop of Edessa, when he was residing in the island of Cyprus (see below); and revised and corrected by Jacob, in the year above mentioned"". Foll. 1a-85b",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/358|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem/author,/data/tei/358.xml,http://syriaca.org/manuscript/358,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[1]/msItem/author,1,Abgar,,http://syriaca.org/person/2823,,1a,The letter of Abgar,ܦܚܡܐ ܕܐܓܪܬܐ ܕܟܬܝܒܐ ܡܢ ܐܒܓܪ ܡܠܟܐ ܠܝܫܘܥ ܕܐܫܬܕܪܬ ܠܗ ܒܝܕ ܚܢܢܝܐ ܛܒܠܪܐ ܠܐܘܪܫܠܡ,,,,ready to ingest,Justin Arnwine,,2:736-738,DCCLXVIII,Add MS 14618,"Eusebius. ""The letters of Abgar and our Lord , with an account of the mission of Addai or Thaddaeus to Edessa , rranslated from The Ecclesiastical History of Eusebius , lib. i., cap. 13"". Foll. 1a-",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/529|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[8]/author,/data/tei/529.xml,http://syriaca.org/manuscript/529,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[2]/msItem[8]/author,1,Abi-melech,,http://syriaca.org/person/1106,b8,164a,"The same for Wednesday, by Abi-melech",ܕܐܪܒܥܒܫܒܐ ܕܥܒܝܕܐ ܠܡܪܝ ܐܒܝܡܠܟ,ܪ̈ܚܡܝܟ ܢܗܘܘܢ ܥܠ ܚܘ̈ܒܬܢ܆ ܡܫܝܚܐ ܪܚܡ ܩܠ ܬܝ̈ܒܐ.,,,ready to ingest,Alexys Ahn,,I:129-131,CLXXXVI,Add MS 14675,"""The Canticles, and others hymns and prayers"". Foll. 148a-172b",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/980|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/msItem[13]/author,/data/tei/980.xml,http://syriaca.org/manuscript/980,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem[3]/msItem[13]/author,1,Abimelech,http://syriaca.org/person/1106,http://syriaca.org/person/1106,b17,158a,"For the nocturn of Wednesday, by Abimelech .",ܕܠܠܝܐ ܕܐܪܒܥܒܫܒܐ ܕܥ܏ܒ ܠܡܪܝ ܐܒܝ̣ܡܠܟ,,,,ready to ingest,Alexys Ahn,,1:134-136,CXCI,Add MS 17219,"""Hymns and Prayers for various occasions."". Foll. 149b-166",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/1098|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/author[2],/data/tei/1098.xml,http://syriaca.org/manuscript/1098,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msContents/msItem/author[2],2,Abraham bar Dāshendād,http://syriaca.org/person/317,http://syriaca.org/person/317,a1,1a,A Commentary on the two discourses of Marcus the monk on the Spiritual Law,ܡܐܡܪ̈ܐ ܬܪ̈ܝܢ ܕܥܠ ܢܡܘܣܐ ܪܘܚܢܝܐ ܕܡܪܩܘܣ ܝܚܝܕܝܐ,,,,ready to ingest,Justin Arnwine,"Wright comments that the author was more probably Babai of Gbilta (http://syriaca.org/person/995), but Baumstark has this manuscript as proof that it was Abraham bar Dashandad",II:482,DCV,Add MS 17270,,,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/607|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem/msItem[3]/msItem[3]/author,/data/tei/607.xml,http://syriaca.org/manuscript/607,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[3]/msContents/msItem/msItem[3]/msItem[3]/author,1,Abraham Kīdūnāyā,,http://syriaca.org/person/1113,p3c10,86b,prayer of Abraham Kīdūnāyā,ܐܒܪܗܡ ܩܕܘܢܝܐ,,,,ready to ingest,Justin Arnwine,,1:144-145,CCXVII,Add MS 14723 foll. 66-113,"""Sext"". Foll. 79a-",,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/1120|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem[4]/author,/data/tei/1120.xml,http://syriaca.org/manuscript/1120,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[2]/msContents/msItem[4]/author,1,Abraham Nephtarenus,http://syriaca.org/person/321,http://syriaca.org/person/321,p2a4,141b,Doctrine of Abraham Nephtarenus,ܡܠܦܢܘܬܐ ܕܡܪܝ ܐܒܪܗܡ ܢܦܬܪܝܐ,ܐܢ ܨ̇ܒܐ ܐܢܬ ܕܬܙܟܐ ܒܐܓܘܢܐ ܕܩܕܝܫܘܬܐ: ܘܬܬܟܠܠ ܒܟܠܝܠܐ ܕܒܬܘܠܘܬܐ̣. ܟܠܗ ܩܪܒܟ̣ ܥܡ ܢܦܫܟ ܢܗܘܐ. ܘܟܠܗ ܬܟܬܘܫܟ ܥܡ ܪܓܬܐ ܕܦܓܪܟ. ܘ܏ܫ.,,,ready to ingest,Alexys Ahn,,II:793-796,DCCXCVII,"Add MS 18,814, foll. 103-262",,,,,,,,,,,,,,FALSE
http://syriaca.org/manuscript/352|TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[3]/author,/data/tei/352.xml,http://syriaca.org/manuscript/352,TEI/teiHeader/fileDesc/sourceDesc/msDesc/msPart[1]/msContents/msItem[3]/author,1,Abraham Nephtarenus,http://syriaca.org/person/321,http://syriaca.org/person/321,p1a3,31b,Discourses of Abraham Nephtarenus,ܕܡܪܝ ܐܒܪܗܡ ܢܦܬܪܝܐ,,,,ready to ingest,Alexys Ahn,,II:832-833,DCCCXVII,Add MS 14614 foll. 1-79,,,,,,,,,,,,,,FALSE
