fileName,msOrPartUri,manuscript link,physDesc,Encoded Extent,RegEx Extracted,Extracted Extent,Corrected Extent,status,assignee,Encoded=Extracted?,comments
/data/tei/759.xml,http://syriaca.org/manuscript/759,https://bl.vuexistapps.us/manuscript/759,"Vellum, about 8 1/8 in. by 5 3/4, consisting of 86 leaves, many of which are much stained and torn, especially foll. 1—3 , 11—13 , 19 , 20 , 52 , 65 , 70—73 , 78 , 80 , 81 , 85 , and 86 . The quires, signed with letters, are 10 in number, but the first is imperfect, leaves being wanting at the beginning and after foll. 1 and 9 . There are from 22 to 28 lines in each page.",,86 leaves,86,86,done,Kurt Urban,FALSE,
/data/tei/257.xml,http://syriaca.org/manuscript/257,https://bl.vuexistapps.us/manuscript/257,"Vellum, about 8 7/8 in. by 5 5/8, consisting of 108 leaves, some of which, particularly at the end, are much stained and slightly torn. The quires, signed with letters, were originally 12 or 13 in number, but the last two or three, from fol. 94 ( ܝܐ ) onwards, are imperfect, leaves being missing after foll. 96, 98, 101, 105, and 106. There are from 27 to 34 lines in each page. From the note on the margin of fol. 1 b, ܦܘܫܩܐ ܕܐܘܢܓܠܝܘܢ . . . , it would appear that a commentary on one of the Gospels was once bound with this manuscript.",,108 leaves,108,108,done,Kurt Urban,FALSE,
/data/tei/132.xml,http://syriaca.org/manuscript/133,https://bl.vuexistapps.us/manuscript/132,"Vellum, about 8 in. by 4 7/8, consisting of 66 leaves, the first three of which are slightly stained. The quires were 8 in number, but the first is now lost. They seem to have been originally signed with arithmetical figures (though the ciphers on foll. 1a and 12a are more recent), but the present signatures are letters. There are from 27 to 31 lines in each page. This manuscript is written in a beautiful, Edessene Estrangela, apparently of the vthcent.; with the exception of fol. 12, which was probably added by the same person who retouched foll. 1—3.",66,66 leaves,66,66,done,Kurt Urban,TRUE,
/data/tei/132.xml,http://syriaca.org/manuscript/1171,https://bl.vuexistapps.us/manuscript/132,"Vellum, about 8 in. by 4 7/8. This folio is palimpsest (see Add. 14,459 fol. 12, lower text ), perhaps of the xth cent. and was probably added by the same person who retouched foll. 1-3 .",1,#N/A,#N/A,1,done,Kurt Urban,#N/A,"This appears to be a duplicate with row 16 below. On the manuscript page there are only 4 parts, however on the sheet here there are 6. They are both referencing the same 1 leaf part of the manuscript, Part 2, though it seems one contains the actual data described under Part 2, and the other appears to be data described from Part 1. I think that may be an error."
/data/tei/132.xml,http://syriaca.org/manuscript/1577,https://bl.vuexistapps.us/manuscript/132,"Vellum, about 8 in. by 4 7/8. This folio is palimpsest, from a manuscript of the vith cent. (see Add. 14,459 fol. 12, upper text ).",1,#N/A,#N/A,1,done,Kurt Urban,#N/A,
/data/tei/132.xml,http://syriaca.org/manuscript/134,https://bl.vuexistapps.us/manuscript/132,"Vellum, about 8 in. by 5, consisting of 103 leaves, the last 8 of which are much stained and soiled (Add. 14,459, foll. 67—169). The quires, 11 in number, seem to have been originally signed with arithmetical figures (though the ciphers on fol. 67 aare more recent), but the present signatures are letters (from ܛto ܝܛ). There are from 25 to 27 lines in each page. The writing is a small, elegant Estrangela of the vith cent, (between A.D. 530 and 540). Fol. 74 is a palimpsest leaf, probably added by the same person who retouched foll. 162 and 163.",103,103 leaves,103,103,done,Kurt Urban,TRUE,
/data/tei/132.xml,http://syriaca.org/manuscript/1172,https://bl.vuexistapps.us/manuscript/132,"Vellum, about 8 in. by 5. This folio is a palimpsest leaf of the ixth or xth cent. (see Add. 14,459 fol. 74, lower text )",1,#N/A,#N/A,1,done,Kurt Urban,#N/A,"Same potentially duplicate situation as rows 15-16 above, please check"
/data/tei/132.xml,http://syriaca.org/manuscript/1578,https://bl.vuexistapps.us/manuscript/132,"Vellum, about 8 in. by 5. This folio is a palimpsest leaf from a manuscript in double columns of the vith cent. (see Add. 14,459 fol. 74, upper text ).",1,#N/A,#N/A,1,done,Kurt Urban,#N/A,
/data/tei/315.xml,http://syriaca.org/manuscript/315,https://bl.vuexistapps.us/manuscript/315,"Vellum, about 9 ½ in. by 6 ¼, consisting of 190 leaves, of which foll. 1, 3, 8, and 190 are slightly stained and torn. The quires, signed with letters, are 19 in number. Each page is divided into two columns, of from 27 to 34 lines. This volume is dated A. Gr. 1224 , A.D. 913 .",,190 leaves,190,190,done,Kurt Urban,FALSE,
/data/tei/623.xml,http://syriaca.org/manuscript/624,https://bl.vuexistapps.us/manuscript/623,"Paper, about 6 7/8 in. by 5, consisting of 75 leaves, some of which are much soiled and torn, especially foll. 1—7 and 75. The quires, signed with letters, are 7 in number. Leaves are wanting at the beginning, and after foll. 1, 4, 5, and 71. Each page has from 16 to 26 lines.",,75 leaves,75,75,done,Kurt Urban,FALSE,
/data/tei/623.xml,http://syriaca.org/manuscript/625,https://bl.vuexistapps.us/manuscript/623,"Paper, about 6 3/4 in. by 5 1/8, consisting of 62 leaves (Add. 14,728, foll. 76—137), the last two of which are much torn. The quires, signed with letters, are six in number. There are from 17 to 26 lines in each page.",,62 leaves,62,62,done,Kurt Urban,FALSE,
/data/tei/623.xml,http://syriaca.org/manuscript/626,https://bl.vuexistapps.us/manuscript/623,"Paper, about 6 5/8 in. by 5, consisting of 70 leaves ( Add. 14,728, foll. 138—207 ). The quires, signed with letters, are 7 in number. There are from 15 to 20 lines in each page.",,70 leaves,70,70,done,Kurt Urban,FALSE,
/data/tei/623.xml,http://syriaca.org/manuscript/627,https://bl.vuexistapps.us/manuscript/623,"Paper, about 6 1/2 in. by 5, consisting of 31 leaves (Add. 14,728, foll. 208—238), many of which are slightly stained and torn. The quires, signed with letters, are three in number. There are from 20 to 30 lines in each page.",,31 leaves,31,31,done,Kurt Urban,FALSE,
/data/tei/623.xml,http://syriaca.org/manuscript/628,https://bl.vuexistapps.us/manuscript/623,"Paper, about 6 1/2 in. by 5, consisting of 30 leaves (Add. 14,728, foll. 239—268), some of which are much stained and torn, especially foll. 266—268. The quires, now three in number, are signed with letters, from ܕ to ܘ . There are from 18 to 28 lines in each page.",,30 leaves,30,30,done,Kurt Urban,FALSE,
/data/tei/1078.xml,http://syriaca.org/manuscript/1078,https://bl.vuexistapps.us/manuscript/1078,"Paper, about 10 5/8 in. by 7 5/8, consisting of 230 leaves, a few of which are slightly stained and torn, especially foll. 1, 92, 101, and 228—230. The quires are signed with letters from ܙ to ܠܒ , but their original number is uncertain, there being lacunae after foll. 21, 131, 151, 161, 181, 187, 197, 217, and 225. The first six quires have been wholly lost, and of the seventh only the last leaf remains. Each page is divided into two columns, of from 23 to 33 lines.",,230 leaves,230,230,done,Kurt Urban,FALSE,
/data/tei/424.xml,http://syriaca.org/manuscript/424,https://bl.vuexistapps.us/manuscript/424,"Vellum, about 6 5/8 in. by 5 1/8, consisting of 83 leaves, some of which are much stained and torn, especially foll. 1—5 , 18 , 54 , and 56 . The quires, signed with letters, were originally 18 in number, but the first nine are lost, and the next two are imperfect, leaves being wanting after foll. 6 and 14 . There are from 16 to 24 lines in each page.",,83 leaves,83,83,done,Kurt Urban,FALSE,
/data/tei/548.xml,http://syriaca.org/manuscript/548,https://bl.vuexistapps.us/manuscript/548,"Paper, about 9 5/8 in. by 6 1/2, consisting of 180 leaves, some of which are much stained and torn, especially foll. 1—7, 178 and 179. The quires, signed with letters, are 18 in number. Two leaves are wanting at the beginning. There are from 17 to 27 lines in each page.",,180 leaves,180,180,done,Kurt Urban,FALSE,
/data/tei/749.xml,http://syriaca.org/manuscript/749,https://bl.vuexistapps.us/manuscript/749,"Vellum, about 9 ¼ in. by 7 1/8, consisting of 51 leaves, some of which are much stained and torn, especially foll. 1—4, 8, 21, 33, and 51. The quires, mostly of six leaves, are now signed with letters from ܝـ to ܝܚ. Each page is divided into two columns, of from 27 to 31 lines.",51,51 leaves,51,51,done,Kurt Urban,TRUE,
/data/tei/1035.xml,http://syriaca.org/manuscript/1036,https://bl.vuexistapps.us/manuscript/1035,"Paper, about 9 7/8 in. by 6 3/4, consisting of 74 leaves, some of which are slightly stained and torn. In the first half, foll. 1—39, the quires are without signatures; in the second half, foll. 40—74, they are signed with letters, from ܐ to ܗ . Leaves are wanting after foll. 40, 53, and 57. The number of lines in each page varies from 15 to 19.",,74 leaves,74,74,done,Kurt Urban,FALSE,
/data/tei/1035.xml,http://syriaca.org/manuscript/1037,https://bl.vuexistapps.us/manuscript/1035,"Ten paper leaves, about 9 3/8 in. by 6 1/2, forming the last quire (marked ܣ ) of a manuscript (Add. 17,246, foil. 75—84), precisely similar to no. ccclxxx .",,#N/A,#N/A,10,done,Kurt Urban,#N/A,
/data/tei/1035.xml,http://syriaca.org/manuscript/1038,https://bl.vuexistapps.us/manuscript/1035,"Six paper leaves, about 9 5/8 in. by 6 1/2, from a manuscript of the xivth cent. (Add. 17,246, foll. 85—90). There are from 14 to 16 lines in each page.",,#N/A,#N/A,6,done,Kurt Urban,#N/A,
/data/tei/766.xml,http://syriaca.org/manuscript/1186,https://bl.vuexistapps.us/manuscript/766,"Vellum, consisting, as at present bound up, of 24 leaves, most of which are much stained and torn, especially foll. 1, 3, 5, 6, and 14. They are all palimpsest, and formed parts of three manuscripts (see Add. 17,137, foll. 1-5, lower text , Add. 17,137 foll. 6-11, lower text , and Add. 17,137, foll.12-24, lower text ). These leaves, the upper and lower halves of which are not always correctly joined together, have been folded so as to form this manuscript, about 5 1/2 in. by 4 1/4. The quires are signed with letters, and the leaves have been numbered at a later period with Coptic arithmetical figures.",,24 leaves,24,24,done,Kurt Urban,FALSE,
/data/tei/766.xml,http://syriaca.org/manuscript/1467,https://bl.vuexistapps.us/manuscript/766,"Vellum leaves, much stained and torn, especially foll. 1, 3, 5. These leaves are palimpsest (see Add. 17,137, upper text ).",,#N/A,#N/A,5,done,Kurt Urban,#N/A,
/data/tei/766.xml,http://syriaca.org/manuscript/1468,https://bl.vuexistapps.us/manuscript/766,"Six vellum leaves from a manuscript, written in two columns. These leaves are palimpsest (see Add. 17,137, upper text ).",,#N/A,#N/A,6,done,Kurt Urban,#N/A,
/data/tei/766.xml,http://syriaca.org/manuscript/1469,https://bl.vuexistapps.us/manuscript/766,"Thirteen vellum leaves from a manuscript. These leaves are palimpsest (see Add. 17,137, upper text ).",,#N/A,#N/A,13,done,Kurt Urban,#N/A,
/data/tei/737.xml,http://syriaca.org/manuscript/737,https://bl.vuexistapps.us/manuscript/737,"Vellum, about 10 1/8 in. by 7 3/4, consisting of 39 leaves, two of which, fol. 3 and 4, are slightly stained and torn. The quires, six in number, seem to have been originally signed with letters (see fol. 26). Several leaves are wanting at the beginning, and one leaf after fol. 10. Each page is divided into two columns, of from 19 to 22 lines.",39,39 leaves,39,39,done,Kurt Urban,TRUE,
/data/tei/728.xml,http://syriaca.org/manuscript/728,https://bl.vuexistapps.us/manuscript/728,"Paper, 8 1/2 in. by 6, consisting of 298 leaves. The quires, signed with letters, are 30 in number. Each page is divided into two columns of 17 lines.",,298 leaves,298,298,done,Kurt Urban,FALSE,
/data/tei/510.xml,http://syriaca.org/manuscript/511,https://bl.vuexistapps.us/manuscript/510,"A vellum leaf, about 8 3/8 in. by 5 3/8, much mutilated. The writing is a small, neat Estrangělā of the vith or viith cent.",1,#N/A,#N/A,,done,Kurt Urban,#N/A,
/data/tei/510.xml,http://syriaca.org/manuscript/512,https://bl.vuexistapps.us/manuscript/510,"Six vellum leaves, about 9 1/8 in. by 5 1/2, the last of which is slightly torn. There are from 25 to 28 lines in each page. The writing is neat and regular, of the ixth cent.",6,#N/A,#N/A,6,done,Kurt Urban,#N/A,
/data/tei/510.xml,http://syriaca.org/manuscript/513,https://bl.vuexistapps.us/manuscript/510,"Six vellum leaves, about 9 3/8 in. by 5 7/8, written in a good, regular hand of the ixth cent., with from 30 to 34 lines in each page (Add. 14,670, foll. 8—13).",6,#N/A,#N/A,6,done,Kurt Urban,#N/A,
/data/tei/510.xml,http://syriaca.org/manuscript/514,https://bl.vuexistapps.us/manuscript/510,"A vellum leaf, 10 ½ in. by 6 ½. The writing is a good, regular Estrangela of the vith cent., in double columns of 29 or 30 lines.",1,#N/A,#N/A,1,done,Kurt Urban,#N/A,
/data/tei/510.xml,http://syriaca.org/manuscript/515,https://bl.vuexistapps.us/manuscript/510,"Four vellum leaves, about 10 in. by 6 1/2, the last of which is much stained and torn. Each page is divided into two columns, of from 29 to 33 lines. The writing is a good, regular Estrangela of the viith cent.",4,#N/A,#N/A,4,done,Kurt Urban,#N/A,
/data/tei/510.xml,http://syriaca.org/manuscript/516,https://bl.vuexistapps.us/manuscript/510,"Four vellum leaves, about 8 1/4 in. by 5 1/4, all of which are much soiled and more or less torn (Add. 14,670, foll. 19—22). There are from 30 to 32 lines in each page. The writing is a fine, regular Estrangela of the vith or viith cent.",4,#N/A,#N/A,4,done,Kurt Urban,#N/A,
/data/tei/510.xml,http://syriaca.org/manuscript/517,https://bl.vuexistapps.us/manuscript/510,"Three vellum leaves, all much stained and mutilated.",3,#N/A,#N/A,3,done,Kurt Urban,#N/A,
/data/tei/510.xml,http://syriaca.org/manuscript/518,https://bl.vuexistapps.us/manuscript/510,"Four vellum leaves, 9 5/8 in. by 6 1/4, all more or less stained and torn. Each page is divided into two columns, of 31 or 32 lines. The writing is a good, regular Estrangělā of the vith or viith cent.",4,#N/A,#N/A,4,done,Kurt Urban,#N/A,
/data/tei/510.xml,http://syriaca.org/manuscript/519,https://bl.vuexistapps.us/manuscript/510,"Six vellum leaves, about 9 3/4 in. by 6 3/8, all much torn. Each page is divided into two columns, of from 33 to 36 lines. The writing is a fine, regular Estrangělā of the vith or viith cent.",6,#N/A,#N/A,6,done,Kurt Urban,#N/A,
/data/tei/510.xml,http://syriaca.org/manuscript/520,https://bl.vuexistapps.us/manuscript/510,"Portions of two vellum leaves, written in double columns, in a small, neat Estrangela of the vith or viith cent.",2,#N/A,#N/A,2,done,Kurt Urban,#N/A,
/data/tei/510.xml,http://syriaca.org/manuscript/521,https://bl.vuexistapps.us/manuscript/510,"A vellum leaf, 9 7/8 in. by 6 3/8, written in double columns, of 33 or 34 lines, in a good, regular Estrangela of the viith cent.",1,#N/A,#N/A,1,done,Kurt Urban,#N/A,
/data/tei/510.xml,http://syriaca.org/manuscript/522,https://bl.vuexistapps.us/manuscript/510,"A vellum leaf, much torn, written in a fine, regular Estrangela of the viith cent.",1,#N/A,#N/A,1,done,Kurt Urban,#N/A,
/data/tei/530.xml,http://syriaca.org/manuscript/531,https://bl.vuexistapps.us/manuscript/530,"Paper, about 7 7/8 in. by 5 1/2, consisting of 42 leaves, nearly every one of which is more or less stained and torn. The quires are signed with letters, but several are wanting at the beginning and end, and there are also lacunae after foll. 4, 10, 20, 30, and 36. The number of lines in each page varies from 19 to 24. This manuscript is written in a large Estrangela of the xiith cent., with numerous vowel-points, both Syriac and Greek.",43,42 leaves,42,42,done,Kurt Urban,FALSE,
/data/tei/530.xml,http://syriaca.org/manuscript/532,https://bl.vuexistapps.us/manuscript/530,"Paper, consisting of 44 leaves, a great part of every one of which has been torn away. It is imperfect both at the beginning and end. The writing is a good, cursive character of the xiiith cent., but the last six leaves arc in a different hand from the rest.",44,44 leaves,44,44,done,Kurt Urban,TRUE,
/data/tei/767.xml,http://syriaca.org/manuscript/1547,https://bl.vuexistapps.us/manuscript/767,"Vellum, about 5 5/8 in. by 4 7/8, consisting of 60 leaves, some of which are much stained and torn, especially foll. 1—3, 18, and 60. The quires, signed with letters, are six in number, the last being imperfect. Each page has from 13 to 17 lines. This volume is palimpsest throughout, being made up of parts of three manuscripts (see Add. 17,138, foll. 1-34 and 41-51, lower text , Add. 17,138, foll. 35-40, lower text , and Add. 17,138, foll. 52-60, lower text ).",,60 leaves,60,60,done,Kurt Urban,FALSE,
/data/tei/767.xml,http://syriaca.org/manuscript/1548,https://bl.vuexistapps.us/manuscript/767,"Vellum, about 5 5/8 in. by 4 7/8. Portions of an Arabic manuscript, these leaves are palimpsest (see Add. 17,138, upper text ).",,#N/A,#N/A,45,done,Kurt Urban,#N/A,
/data/tei/767.xml,http://syriaca.org/manuscript/1549,https://bl.vuexistapps.us/manuscript/767,"Vellum, about 5 5/8 in. by 4 7/8. Six leaves from a Syriac manuscript of about the ixth cent. These leaves are palimpsest (see Add. 17,138, upper text ).",,#N/A,#N/A,6,done,Kurt Urban,#N/A,
/data/tei/767.xml,http://syriaca.org/manuscript/1550,https://bl.vuexistapps.us/manuscript/767,"Vellum, about 5 5/8 in. by 4 7/8. Nine leaves from a Syriac manuscript of the vith or viith cent. These leaves are palimpsest (see Add. 17,138, upper text ).",,#N/A,#N/A,9,done,Kurt Urban,#N/A,
/data/tei/300.xml,http://syriaca.org/manuscript/300,https://bl.vuexistapps.us/manuscript/300,"Vellum, about 10 1/2 in. by 6 5/8, consisting of 201 leaves, some of which are slightly stained and soiled. The quires, 20 in number, are signed with both letters and arithmetical figures (e.g. fol. 20, ܓ; fol. 40, ܗ; fol. 120, ܝܓ; fol. 192, ܘ). A later hand has renumbered them with letters only. Each page is divided into two columns, of from 26 to 30 lines.",201,201 leaves,201,201,done,Kurt Urban,TRUE,
/data/tei/104.xml,http://syriaca.org/manuscript/104,https://bl.vuexistapps.us/manuscript/104,"Vellum, about 9 3/4 in. by 7, consisting of 325 leaves, many of which are much stained and a few slightly torn (especially foll. 68, 76, 77, 79, 86, 87, 89—193, and 318—325). The quires, 34 in number, are signed with letters; ܟܟ, ܠܓand ܠܕare incomplete, leaves being missing after foll. 185, 312, 313, 319, and 325. The number of lines in each page varies from 18 to 23. This manuscript is written in a good, regular hand of the xth or xith cent., with numerous Syriac vowels and diacritical marks.",325,325 leaves,325,325,done,Kurt Urban,TRUE,
/data/tei/462.xml,http://syriaca.org/manuscript/463,https://bl.vuexistapps.us/manuscript/462,"Vellum, about 4 7/8 in. by 5, consisting of 12 leaves, most of which are more or less soiled and torn. The quires are signed with letters ( ܒ , fol. 7b ). There are from 21 to 24 lines in each page.",,12 leaves,12,12,done,Kurt Urban,FALSE,
/data/tei/462.xml,http://syriaca.org/manuscript/464,https://bl.vuexistapps.us/manuscript/462,"Four vellum leaves, about 7 1/2 in. by 5 1/8 (Add. 14,667, foll. 13—16), with from 22 to 24 lines in each page.",,#N/A,#N/A,4,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/465,https://bl.vuexistapps.us/manuscript/462,"Twelve vellum leaves, about 7 in. by 5 3/8, all more or less torn (Add. 14,667, foll. 17—28). There are from 17 to 23 lines in each page. These leaves are palimpsest.",,#N/A,#N/A,12,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/466,https://bl.vuexistapps.us/manuscript/462,"Ten vellum leaves, about 6 1/2 in. by 4 3/4, all of which are more or less stained and some torn (Add. 14,667, foll. 29—38). There are 19 or 20 lines in each page.",,#N/A,#N/A,10,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/467,https://bl.vuexistapps.us/manuscript/462,"Two vellum leaves, about 7 1/4 in. by 5 3/8, much soiled and torn.",,#N/A,#N/A,2,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/468,https://bl.vuexistapps.us/manuscript/462,"Two vellum leaves, much torn, about 6 1/2 in. by 5 1/4. There are from 29 to 31 lines in each page.",,#N/A,#N/A,2,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/469,https://bl.vuexistapps.us/manuscript/462,"A vellum leaf, 7 1/8 in. by 5 1/2, slightly stained and torn, with 23 lines in each page.",,#N/A,#N/A,1,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/470,https://bl.vuexistapps.us/manuscript/462,"Two vellum leaves, both much mutilated, perhaps belonging to the same manuscript as the preceding number .",,#N/A,#N/A,2,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/471,https://bl.vuexistapps.us/manuscript/462,"Four vellum leaves, about 7 in. by 5, slightly soiled and mutilated. The last leaf is palimpsest; cf. the lower text .",,#N/A,#N/A,4,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/1483,https://bl.vuexistapps.us/manuscript/462,This vellum leaf is palimpsest; cf. the upper text .,,#N/A,#N/A,1,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/472,https://bl.vuexistapps.us/manuscript/462,"Two vellum leaves, 6 5/8 in. by 4 1/2, slightly stained and torn.",,#N/A,#N/A,2,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/473,https://bl.vuexistapps.us/manuscript/462,"Two vellum leaves, about 6 1/2 in. by 4 1/2, slightly stained and mutilated, with 19 or 20 lines in each page.",,#N/A,#N/A,2,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/474,https://bl.vuexistapps.us/manuscript/462,"A vellum leaf, much torn, about 6 1/8 in. by 4 3/8.",,#N/A,#N/A,1,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/475,https://bl.vuexistapps.us/manuscript/462,"Five vellum leaves, about 7 7/8 in. by 5 5/8, all more or less injured, with from 19 to 26 lines in each page.",,#N/A,#N/A,5,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/476,https://bl.vuexistapps.us/manuscript/462,"Four vellum leaves, about 7 in. by 5, with from 20 to 23 lines in each page.",,#N/A,#N/A,4,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/477,https://bl.vuexistapps.us/manuscript/462,"A vellum leaf, 7 in. by 5 3/8.",,#N/A,#N/A,1,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/478,https://bl.vuexistapps.us/manuscript/462,"Five vellum leaves, about 6 3/4 in. by 5, much stained and soiled. There are from 23 to 25 lines in each page.",,#N/A,#N/A,5,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/479,https://bl.vuexistapps.us/manuscript/462,"Two vellum leaves, about 7 1/4 in. by 5 5/8, with from 25 to 27 lines in each page.",,#N/A,#N/A,2,done,Kurt Urban,#N/A,
/data/tei/462.xml,http://syriaca.org/manuscript/480,https://bl.vuexistapps.us/manuscript/462,"Two vellum leaves, about 7 in. by 5 1/4 , much soiled and torn (Add. 14,667, foll. 72, 73). They formed part of the fifteenth quire ( ܝܗ ).",,#N/A,#N/A,2,done,Kurt Urban,#N/A,
