creators,date,title,sandbox_URI,searchURL_CreatorDate,searchURL_Title,CBSS_URI,notes,status,assignee
"Abramowski, ",1993,"Die Reste der syrischen Übersetzung von Theodor von Mopsuestia, De Incarnatione, in ADD. 14.669",http://zotero.org/groups/5027921/items/2AYS6ANE,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Abramowski%201993/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Die%20Reste%20der%20syrischen%20%C3%9Cbersetzung%20von%20Theodor%20von%20Mopsuestia%2C%20De%20Incarnatione%2C%20in%20ADD.%2014.669/titleCreatorYear,,,to do,
"Aguilar Sanchez, ",2021,"<hi rend=""italics"">Corpus Nestorianum Sinicum</hi>: “Thus Have I Heard on the Listening of Mishihe (the Messiah)”序聽迷詩所經and “Discourse on the One-God”一神論. A Theological Approach with a Proposed Reading Structure and Translation",http://zotero.org/groups/5027921/items/T3MED9ZK,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Aguilar%20Sanchez%202021/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/%3Chi%20rend%3D%22italics%22%3ECorpus%20Nestorianum%20Sinicum%3C%2Fhi%3E%3A%20%E2%80%9CThus%20Have%20I%20Heard%20on%20the%20Listening%20of%20Mishihe%20%28the%20Messiah%29%E2%80%9D%E5%BA%8F%E8%81%BD%E8%BF%B7%E8%A9%A9%E6%89%80%E7%B6%93and%20%E2%80%9CDiscourse%20on%20the%20One-God%E2%80%9D%E4%B8%80%E7%A5%9E%E8%AB%96.%20A%20Theological%20Approach%20with%20a%20Proposed%20Reading%20Structure%20and%20Translation/titleCreatorYear,,,to do,
"Akalin, ",201,Klasik Süryaniceye Giriş,http://zotero.org/groups/5027921/items/EQAU36KY,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Akalin%20201/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Klasik%20S%C3%BCryaniceye%20Giri%C5%9F/titleCreatorYear,,,to do,
"Akyüz, ",2001,Osmanlı Devleti’nde Süryani Kilisesi: Osmanlı padişahları tarafından Süryani Kilisesi’nin ruhani liderlerine gönderilen fermanlar,http://zotero.org/groups/5027921/items/NX72GE8G,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Aky%C3%BCz%202001/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Osmanl%C4%B1%20Devleti%E2%80%99nde%20S%C3%BCryani%20Kilisesi%3A%20Osmanl%C4%B1%20padi%C5%9Fahlar%C4%B1%20taraf%C4%B1ndan%20S%C3%BCryani%20Kilisesi%E2%80%99nin%20ruhani%20liderlerine%20g%C3%B6nderilen%20fermanlar/titleCreatorYear,,,to do,
"Albert, ",1993,Lettre de Grégoire de Nysse à son frère pierre d’Annési-Sébaste,http://zotero.org/groups/5027921/items/FRWEWSK5,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Albert%201993/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Lettre%20de%20Gr%C3%A9goire%20de%20Nysse%20%C3%A0%20son%20fr%C3%A8re%20pierre%20d%E2%80%99Ann%C3%A9si-S%C3%A9baste/titleCreatorYear,,,to do,
"al-Jadir, ",2016,The Status of Women in Syriac and Hatran Aramaic Inscriptions,http://zotero.org/groups/5027921/items/K26QXPKI,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/al-Jadir%202016/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/The%20Status%20of%20Women%20in%20Syriac%20and%20Hatran%20Aramaic%20Inscriptions/titleCreatorYear,,,to do,
"al-Jeloo, ",2012,"<hi rend=""italics"">Kaldāyūthā</hi>: The<hi rend=""italics"">Spar-Sammāné</hi>and Late Antique Syriac Astrology",http://zotero.org/groups/5027921/items/WXFD6YZD,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/al-Jeloo%202012/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/%3Chi%20rend%3D%22italics%22%3EKald%C4%81y%C5%ABth%C4%81%3C%2Fhi%3E%3A%20The%3Chi%20rend%3D%22italics%22%3ESpar-Samm%C4%81n%C3%A9%3C%2Fhi%3Eand%20Late%20Antique%20Syriac%20Astrology/titleCreatorYear,,,to do,
"Al-Jeloo, ",2012,A Collection of Unpublished Neo-Aramaic Manuscripts from Urmia,http://zotero.org/groups/5027921/items/3NIISPFD,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Al-Jeloo%202012/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/A%20Collection%20of%20Unpublished%20Neo-Aramaic%20Manuscripts%20from%20Urmia/titleCreatorYear,,,to do,
"Al-Jeloo, ",2013,"A Hitherto Uncatalogued Syriac Manuscript from the Urmia Museum, Iran",http://zotero.org/groups/5027921/items/PD9CCRFF,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Al-Jeloo%202013/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/A%20Hitherto%20Uncatalogued%20Syriac%20Manuscript%20from%20the%20Urmia%20Museum%2C%20Iran/titleCreatorYear,,,to do,
"Alouf, ",1922,History of Baalbek by one of its Inhabitants,http://zotero.org/groups/5027921/items/EZPUT5CP,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Alouf%201922/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/History%20of%20Baalbek%20by%20one%20of%20its%20Inhabitants/titleCreatorYear,,,to do,
"Alpi, ",2001,Un regard sur Beyrouth byzantine,http://zotero.org/groups/5027921/items/4Q8RCAEH,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Alpi%202001/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Un%20regard%20sur%20Beyrouth%20byzantine/titleCreatorYear,,,to do,
"Alpi, ",2004,"Les manichéens et le manichéisme dans les<hi rend=""italics"">Homélies Cathédrales</hi>de Sévère d’Antioche (512–518): observations sur l’<hi rend=""italics"">HC</hi>123 et sur quelques passages négligés",http://zotero.org/groups/5027921/items/MFVUF95R,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Alpi%202004/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Les%20manich%C3%A9ens%20et%20le%20manich%C3%A9isme%20dans%20les%3Chi%20rend%3D%22italics%22%3EHom%C3%A9lies%20Cath%C3%A9drales%3C%2Fhi%3Ede%20S%C3%A9v%C3%A8re%20d%E2%80%99Antioche%20%28512%E2%80%93518%29%3A%20observations%20sur%20l%E2%80%99%3Chi%20rend%3D%22italics%22%3EHC%3C%2Fhi%3E123%20et%20sur%20quelques%20passages%20n%C3%A9glig%C3%A9s/titleCreatorYear,,,to do,
"Altheim, Stiehl, ",1958,Michael der Syrer über das erste Auftreten der Bulgaren und Chazaren,http://zotero.org/groups/5027921/items/5I73P7YD,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Altheim%20Stiehl%201958/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Michael%20der%20Syrer%20%C3%BCber%20das%20erste%20Auftreten%20der%20Bulgaren%20und%20Chazaren/titleCreatorYear,,,to do,
"Al-Zebari, Khan (ed.), Noorlander (ed.)",2021,Lexical Items Relating to Material Culture in the NENA Dialects of the Aqra Region,http://zotero.org/groups/5027921/items/EVBB9EPY,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Al-Zebari%20Khan%20Noorlander%202021/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Lexical%20Items%20Relating%20to%20Material%20Culture%20in%20the%20NENA%20Dialects%20of%20the%20Aqra%20Region/titleCreatorYear,,,to do,
"Al-Zebari, ",2021,The Morphology of Adjectives in the Neo-Aramaic Dialects of ʻAqra,http://zotero.org/groups/5027921/items/BZS6Z9JN,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Al-Zebari%202021/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/The%20Morphology%20of%20Adjectives%20in%20the%20Neo-Aramaic%20Dialects%20of%20%CA%BBAqra/titleCreatorYear,,,to do,
"Amin, Tawfīq, ",2015,Following the Footsteps of Father Fiey:Topographical Observations in‘Aqrā and its Region,http://zotero.org/groups/5027921/items/6L4RQHMA,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Amin%20Tawf%C4%ABq%202015/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Following%20the%20Footsteps%20of%20Father%20Fiey%3ATopographical%20Observations%20in%E2%80%98Aqr%C4%81%20and%20its%20Region/titleCreatorYear,,,to do,
"Anthony, ",2010,The Syriac Account of Dionysius of Tell Maḥrēconcerning the Assassination of ‘Umar b. al-Khaṭṭāb,http://zotero.org/groups/5027921/items/RAKCUFAM,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Anthony%202010/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/The%20Syriac%20Account%20of%20Dionysius%20of%20Tell%20Ma%E1%B8%A5r%C4%93concerning%20the%20Assassination%20of%20%E2%80%98Umar%20b.%20al-Kha%E1%B9%AD%E1%B9%AD%C4%81b/titleCreatorYear,,,to do,
"Antony, ",2020,The Archaeology and Epigraphy of Mar Thoma Nasranis (Saint Thomas Christians) of India: A Pictorial Review,http://zotero.org/groups/5027921/items/UXA3SVJW,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Antony%202020/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/The%20Archaeology%20and%20Epigraphy%20of%20Mar%20Thoma%20Nasranis%20%28Saint%20Thomas%20Christians%29%20of%20India%3A%20A%20Pictorial%20Review/titleCreatorYear,,,to do,
"Apostolache, ",2014,"Dimensiunea eclesiologică a tainei baptismaleîn imnografia siro-occidentală.“Imn la Epifanie despre Biserică, Mireasă a lui Hristos”",http://zotero.org/groups/5027921/items/VB57YGTV,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Apostolache%202014/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Dimensiunea%20eclesiologic%C4%83%20a%20tainei%20baptismale%C3%AEn%20imnografia%20siro-occidental%C4%83.%E2%80%9CImn%20la%20Epifanie%20despre%20Biseric%C4%83%2C%20Mireas%C4%83%20a%20lui%20Hristos%E2%80%9D/titleCreatorYear,,,to do,
"Arbel, ",2000,Junction of Traditions in Edessa: Possible Interaction between Mesopotamian Mythological and Jewish Mystical Traditions in the First Centuries CE,http://zotero.org/groups/5027921/items/KZVD5RGT,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Arbel%202000/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Junction%20of%20Traditions%20in%20Edessa%3A%20Possible%20Interaction%20between%20Mesopotamian%20Mythological%20and%20Jewish%20Mystical%20Traditions%20in%20the%20First%20Centuries%20CE/titleCreatorYear,,,to do,
"Arthur, ",2008,Pseudo-Dionysius as Polemicist: The Development and Purpose of the Angelic Hierarchy in Sixth Century Syria,http://zotero.org/groups/5027921/items/8KDEI7T5,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Arthur%202008/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Pseudo-Dionysius%20as%20Polemicist%3A%20The%20Development%20and%20Purpose%20of%20the%20Angelic%20Hierarchy%20in%20Sixth%20Century%20Syria/titleCreatorYear,,,to do,
"Ashdown, ",2020,Christian-Muslim Relations in Syria: Historic and Contemporary Religious Dynamics in a Changing Context,http://zotero.org/groups/5027921/items/6H8VBFL3,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Ashdown%202020/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Christian-Muslim%20Relations%20in%20Syria%3A%20Historic%20and%20Contemporary%20Religious%20Dynamics%20in%20a%20Changing%20Context/titleCreatorYear,,,to do,
"Atto, Barthoma, Gaunt (ed.), Atto (ed.), Barthoma (ed.)",2017,Syriac Orthodox Leadership in the Post-Genocide Period (1918–26) and the Removal of the Patriarchate from Turkey,http://zotero.org/groups/5027921/items/89CRQ6VN,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Atto%20Barthoma%20Gaunt%20Atto%20Barthoma%202017/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Syriac%20Orthodox%20Leadership%20in%20the%20Post-Genocide%20Period%20%281918%E2%80%9326%29%20and%20the%20Removal%20of%20the%20Patriarchate%20from%20Turkey/titleCreatorYear,,,to do,
"Baaba, ",2009,The Evolution of the Short Story in Modern Assyrian Literature,http://zotero.org/groups/5027921/items/BSSP3QHR,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Baaba%202009/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/The%20Evolution%20of%20the%20Short%20Story%20in%20Modern%20Assyrian%20Literature/titleCreatorYear,,,to do,
"Baffioni, ",1991,Probable Syriac Influence in the Ikhwan al-Safa’’s Logical Epistles?,http://zotero.org/groups/5027921/items/HJMRYDM7,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Baffioni%201991/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Probable%20Syriac%20Influence%20in%20the%20Ikhwan%20al-Safa%E2%80%99%E2%80%99s%20Logical%20Epistles%3F/titleCreatorYear,,,to do,
"Balty, Chéhadé, van Rengen, ",1969,Mosaïques de l’église de herbet Muqa,http://zotero.org/groups/5027921/items/7N5V964J,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Balty%20Ch%C3%A9had%C3%A9%20van%20Rengen%201969/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Mosa%C3%AFques%20de%20l%E2%80%99%C3%A9glise%20de%20herbet%20Muqa/titleCreatorYear,,,to do,
"Bar-Ilan, ",2012,"The Hebrew<hi rend=""italics"">Book of Creation</hi>and the Syriac<hi rend=""italics"">Treatise of Shem</hi>",http://zotero.org/groups/5027921/items/WSFI32J4,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Bar-Ilan%202012/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/The%20Hebrew%3Chi%20rend%3D%22italics%22%3EBook%20of%20Creation%3C%2Fhi%3Eand%20the%20Syriac%3Chi%20rend%3D%22italics%22%3ETreatise%20of%20Shem%3C%2Fhi%3E/titleCreatorYear,,,to do,
"Barsoum, ",2008,History of the Monastery of Saint Matthew in Mosul,http://zotero.org/groups/5027921/items/NVJ9SSIG,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Barsoum%202008/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/History%20of%20the%20Monastery%20of%20Saint%20Matthew%20in%20Mosul/titleCreatorYear,,,to do,
"Barsoum, ",2009,History of the Syriac Dioceses,http://zotero.org/groups/5027921/items/AT3WQAGZ,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Barsoum%202009/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/History%20of%20the%20Syriac%20Dioceses/titleCreatorYear,,,to do,
"Bäss, ",1968,Gebete des Anton von Tagrit,http://zotero.org/groups/5027921/items/TNX2NVBQ,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/B%C3%A4ss%201968/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Gebete%20des%20Anton%20von%20Tagrit/titleCreatorYear,,,to do,
"Baumstark, ",1901,Ein Brief des Andreas von Samosata an Rabbula von Edessa und eine verlorene dogmatische Katene,http://zotero.org/groups/5027921/items/UYGT9TXI,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Baumstark%201901/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Ein%20Brief%20des%20Andreas%20von%20Samosata%20an%20Rabbula%20von%20Edessa%20und%20eine%20verlorene%20dogmatische%20Katene/titleCreatorYear,,,to do,
"Robin, Briquel-Chatonnet, Beaucamp, ",1999,La persécution des chrétiens de Nagrān et la chronologie ḥimyarite,http://zotero.org/groups/5027921/items/AFJ2X6ZG,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Robin%20Briquel-Chatonnet%20Beaucamp%201999/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/La%20pers%C3%A9cution%20des%20chr%C3%A9tiens%20de%20Nagr%C4%81n%20et%20la%20chronologie%20%E1%B8%A5imyarite/titleCreatorYear,,,to do,
"Beck, ",1949,Die Theologie des Hl. Ephraem in seinem Hymnem über den Glauben,http://zotero.org/groups/5027921/items/ZYR2DDSL,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Beck%201949/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Die%20Theologie%20des%20Hl.%20Ephraem%20in%20seinem%20Hymnem%20%C3%BCber%20den%20Glauben/titleCreatorYear,,,to do,
"Beck, ",1951,Ephraems Hymnen über das Paradies: Übersetzung und Kommentar,http://zotero.org/groups/5027921/items/NMKT37CG,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Beck%201951/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Ephraems%20Hymnen%20%C3%BCber%20das%20Paradies%3A%20%C3%9Cbersetzung%20und%20Kommentar/titleCreatorYear,,,to do,
"Beck, ",1953,Ephräms Reden über den Glauben. Ihr theologischer Lehrgehalt und ihr geschichtlicher Rahmen,http://zotero.org/groups/5027921/items/IA9AY594,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Beck%201953/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Ephr%C3%A4ms%20Reden%20%C3%BCber%20den%20Glauben.%20Ihr%20theologischer%20Lehrgehalt%20und%20ihr%20geschichtlicher%20Rahmen/titleCreatorYear,,,to do,
"Beck, ",1956,Die Mariologie der echten Schriften Ephräms,http://zotero.org/groups/5027921/items/GL53V6LM,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Beck%201956/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Die%20Mariologie%20der%20echten%20Schriften%20Ephr%C3%A4ms/titleCreatorYear,,,to do,
"Beck, ",1967,Ephräm der Syrer. Lobgesang aus der Wüste,http://zotero.org/groups/5027921/items/N5KQALMQ,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Beck%201967/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Ephr%C3%A4m%20der%20Syrer.%20Lobgesang%20aus%20der%20W%C3%BCste/titleCreatorYear,,,to do,
"Beck, Geyer (ed.), Schmidt (ed.)",1982,Zur Terminologie von Ephraems Bildtheologie,http://zotero.org/groups/5027921/items/BUAQYBRV,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Beck%20Geyer%20Schmidt%201982/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Zur%20Terminologie%20von%20Ephraems%20Bildtheologie/titleCreatorYear,,,to do,
"Beck, Becker (ed.), Kaczynski (ed.)",1983,Ephräms des Syrers Hymnen,http://zotero.org/groups/5027921/items/L32JWCNC,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Beck%20Becker%20Kaczynski%201983/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Ephr%C3%A4ms%20des%20Syrers%20Hymnen/titleCreatorYear,,,to do,
"Becker, Reed (ed.), Boustan (ed.)",2004,Bringing the Heavenly Academy Down to Earth: Approaches to the Imagery of Divine Pedagogy in the East Syrian Tradition,http://zotero.org/groups/5027921/items/4KMB2HSF,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Becker%20Reed%20Boustan%202004/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Bringing%20the%20Heavenly%20Academy%20Down%20to%20Earth%3A%20Approaches%20to%20the%20Imagery%20of%20Divine%20Pedagogy%20in%20the%20East%20Syrian%20Tradition/titleCreatorYear,,,to do,
"Becker, ",2008,Sources for the Study of the School of Nisibis,http://zotero.org/groups/5027921/items/3YA8CKFQ,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Becker%202008/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Sources%20for%20the%20Study%20of%20the%20School%20of%20Nisibis/titleCreatorYear,,,to do,
"Bedjan, ",1890,Acta martyrum et sanctorum,http://zotero.org/groups/5027921/items/TE5RQ2YP,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Bedjan%201890/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Acta%20martyrum%20et%20sanctorum/titleCreatorYear,,,to do,
"Beggiani, ",1991,Introduction to Eastern Christian Spirituality: The Syriac Tradition,http://zotero.org/groups/5027921/items/GQC5CTKF,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Beggiani%201991/titleCreatorYear,https://www.zotero.org/groups/4861694/a_comprehensive_bibliography_of_syriac/search/Introduction%20to%20Eastern%20Christian%20Spirituality%3A%20The%20Syriac%20Tradition/titleCreatorYear,,,to do,
